FS,FE,CLF,n_ok_folds,n_total_folds,success_rate,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std
Chi2,PCA,KNN,15,15,1.0,0.9002041203194889,0.010112380908354212,0.786696027454132,0.05244871401854049,0.9206474047967121,0.0077267490805486986,0.7391550438262908,0.04637237121265804,0.9027947823143443,0.06121112840196095
Chi2,SVD,KNN,15,15,1.0,0.9002041203194889,0.010112380908354212,0.786696027454132,0.05244871401854049,0.9206474047967121,0.0077267490805486986,0.7391550438262908,0.04637237121265804,0.9027947823143443,0.06121112840196095
ANOVA,PCA,CAT,15,15,1.0,0.9376019391932018,0.004562300552522877,0.7864890791845921,0.041189802840992225,0.9475724182938471,0.0037924262289105266,0.7410151911184908,0.03899997374160953,0.8765976843771868,0.044662121633684444
ANOVA,SVD,CAT,15,15,1.0,0.9376019391932018,0.004562300552522877,0.7864890791845921,0.041189802840992225,0.9475724182938471,0.0037924262289105266,0.7410151911184908,0.03899997374160953,0.8765976843771868,0.044662121633684444
Chi2,ICA,KNN,15,15,1.0,0.8943434135117379,0.009857459844167415,0.7857318548646912,0.05342370854896428,0.9167262317139511,0.007439425087582805,0.7425499234382668,0.04965011336643277,0.8991106031396268,0.059381486367057985
ANOVA,ICA,LGBM,15,15,1.0,0.9416267541807415,0.0061590373439733845,0.7852069392939899,0.03065293002157691,0.9511973064312003,0.004825893590437277,0.7436106608257343,0.030690664468990478,0.8697105651612952,0.03128486581998675
Chi2,LDA,XGB,15,15,1.0,0.9482366411751729,0.006574658141485963,0.7851087601905554,0.007306421696058011,0.9547374062281475,0.00520589819231245,0.7438460355747999,0.008026788610682411,0.8587580019072754,0.004550350585576151
Chi2,ICA,LGBM,15,15,1.0,0.9327251799067825,0.008474997410075803,0.7842010765544944,0.035346042555483896,0.9444491422206162,0.006456364623336832,0.7393150745597585,0.0323350535030858,0.8826784256961422,0.05163823236336222
VT,LDA,GB,15,15,1.0,0.9509836966876981,0.006311266308171163,0.7834002145439422,0.00996319681649041,0.9570072779940676,0.005329901183566895,0.7420877412964886,0.0121738340325554,0.8549424946815964,0.006077605764128352
Chi2,PCA,ET,15,15,1.0,0.9137178972192519,0.010308211480983638,0.7817229832162607,0.04592023295749506,0.9316645533670618,0.00781770250411024,0.7428117356612257,0.045165313419192415,0.8793695587086344,0.04969826798475604
Chi2,SVD,ET,15,15,1.0,0.9137178972192519,0.010308211480983638,0.7817229832162607,0.04592023295749506,0.9316645533670618,0.00781770250411024,0.7428117356612257,0.045165313419192415,0.8793695587086344,0.04969826798475604
ANOVA,LDA,ET,15,15,1.0,0.9439037312813785,0.008069179796299506,0.781459706863854,0.0117021466081871,0.9521325442844327,0.006237001426599519,0.739269781688265,0.013485770917645452,0.8636700389014031,0.0022136139436555228
Chi2,PCA,RF,15,15,1.0,0.9122931557081659,0.009425361804349863,0.7812850663573373,0.04582877445010131,0.9309569864543138,0.007038360624836135,0.7417716128319878,0.044525419464722195,0.8809034598520671,0.049871729961063746
Chi2,SVD,RF,15,15,1.0,0.9122931557081659,0.009425361804349863,0.7812850663573373,0.04582877445010131,0.9309569864543138,0.007038360624836135,0.7417716128319878,0.044525419464722195,0.8809034598520671,0.049871729961063746
ANOVA,LDA,XGB,15,15,1.0,0.9468413394412456,0.008565252997920344,0.7803362178560176,0.013774690247751376,0.9539721430180474,0.006559771848219313,0.7370133837082213,0.016235627812415367,0.8617134580231414,0.003282701035197328
Chi2,LDA,GB,15,15,1.0,0.9381159636576697,0.0068761416140284,0.7795578824647827,0.01325041656850505,0.9474287174599998,0.005066146046974186,0.7357337761710591,0.01070527116164927,0.8816279385508218,0.051892254348177645
ANOVA,ICA,XGB,15,15,1.0,0.9378371855391789,0.006124944959424807,0.7770464770630033,0.02818810594893407,0.9482873739699555,0.004793348537684645,0.7329211160194368,0.028108955843399164,0.8670946460391357,0.02992492696621461
ANOVA,ICA,CAT,15,15,1.0,0.9355898359363551,0.007061487850643149,0.7765930360869518,0.03170140732165767,0.9461198647450134,0.005320131775029967,0.7358293608568187,0.031554187946301805,0.8617277250793547,0.029874322858261426
ANOVA,PCA,LGBM,15,15,1.0,0.9447408747776035,0.005883428889890446,0.7747525341364584,0.012328602296523024,0.9532102684665825,0.004705660458045318,0.7294991042321747,0.01610784648930325,0.8613425612625208,0.005037392345204285
